game_id,winner,plies,captures,promotions,epsilon,max_plies,player_policy
1,ai,40,17,3,0.05,220,minimize
2,player,64,20,4,0.05,220,minimize
3,ai,50,18,4,0.05,220,minimize
4,ai,53,21,3,0.05,220,minimize
5,ai,48,19,2,0.05,220,minimize
6,ai,47,20,2,0.05,220,minimize
7,player,45,16,1,0.05,220,minimize
8,player,45,19,1,0.05,220,minimize
9,ai,39,16,2,0.05,220,minimize
10,ai,55,21,2,0.05,220,minimize
11,ai,51,20,2,0.05,220,minimize
12,player,66,22,4,0.05,220,minimize
13,player,48,19,3,0.05,220,minimize
14,ai,37,15,2,0.05,220,minimize
15,player,44,17,2,0.05,220,minimize
16,player,46,19,2,0.05,220,minimize
17,player,88,23,4,0.05,220,minimize
18,ai,47,17,2,0.05,220,minimize
19,player,55,18,2,0.05,220,minimize
20,player,53,22,1,0.05,220,minimize
